temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,daylight_duration,sunshine_duration,rain_sum,showers_sum,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,status
36.9435,25.8435,41.271954,27.854683,44179.9,41713.516,0.0,0.0,0.0,0.0,27.155552,34.2,138.5978,Clear sky
37.9435,26.2435,41.531143,28.46939,44215.832,41747.586,0.0,0.0,0.0,0.0,28.467329,41.039997,138.1476,Clear sky
37.9435,26.9435,42.20829,29.114986,44251.676,41553.664,0.0,0.0,0.0,0.0,26.642431,41.039997,129.97482,Clear sky
36.2435,27.4435,41.18168,29.69838,44287.418,25956.572,0.0,2.6,2.6,4.0,18.864824,38.16,130.28722,Drizzle
37.0435,26.543499,42.56593,29.466415,44323.016,40695.32,0.0,0.1,0.1,1.0,16.80857,37.079998,126.70742,Clear sky
33.476,25.575998,38.52807,31.546028,44358.46,39829.848,0.0,1.2,1.2,5.0,7.69592,16.199999,163.9652,Rain showers
35.176003,26.075998,41.371292,31.900204,44393.71,41221.31,0.0,0.3,0.3,3.0,13.891522,27.359999,151.00053,Clear sky
34.926003,25.526,42.24907,31.341148,44428.754,41726.453,0.0,0.1,0.1,1.0,11.384198,23.039999,161.84262,Clear sky
34.026,26.575998,40.81318,32.63139,44463.566,37818.766,0.0,2.7000003,2.7000003,6.0,12.783802,30.239998,136.40854,Thunderstorm
34.876,25.776,40.468357,31.79601,44498.1,32838.945,0.0,5.1,4.9999995,7.0,11.090103,24.119999,104.832726,Thunderstorm
33.476,25.675999,40.698383,31.43362,44532.35,31739.174,0.0,4.5,4.5,6.0,9.673221,24.119999,98.414635,Thunderstorm
33.976,25.626,41.6296,31.143375,44566.277,35840.047,0.0,3.9,3.9,5.0,11.384198,23.4,119.54454,Thunderstorm
33.576,25.976,41.25712,32.301395,44599.863,32325.834,0.0,2.6999998,2.6999998,8.0,9.504272,20.519999,160.01678,Thunderstorm
